;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9
Atlético Mineiro;-0.49999999999999983;-1.8750000000000022;-1.4123113066319235;-1.4006019340351814;-0.7558292821838383;-0.5301443971460645;-0.5024413788993737;-0.24749070394182612
Bahia;0.0;0.25000000000000044;-0.11991418702464851;-0.7520303863377875;-0.48194181682746284;-0.16250147575741813;0.13579415599790756;0.24642694713853547
Botafogo (RJ);0.0;2.1249999999999982;1.0437316639452516;0.30952718516227007;-0.06134809922783587;0.27355854968774285;0.1173438026094407;0.5841891256367798
Ceará;0.0;-0.3749999999999958;0.28206737432956935;-0.14565770128903577;-0.20011476593831862;-0.07981829707925304;0.045894268768440875;-0.04406057894715079
Corinthians;0.0;1.2499999999999998;0.5350274484820844;-0.17123871450556324;0.01726074939248618;-0.4538793368567597;-0.019505259997770766;-0.2591210480906426
Cruzeiro;0.4999999999999999;-0.12499999999999911;-0.5743238318253154;0.4430005048540232;0.1182085307077413;0.3137846218746711;0.6376664292190338;0.8597115532391489
Flamengo;0.0;1.375000000000001;0.7525687455579765;2.051490829812542;1.5675734971757977;1.916457594969551;1.5358451549824188;1.391796715147981
Fluminense;-0.9999999999999998;-0.8749999999999967;0.3463620597792455;0.5601868873407441;0.4242465963404089;-0.08899103784781957;-0.025145455659659487;-0.12073261288314618
Fortaleza;0.9999999999999998;0.37500000000000566;1.2175847248886311;0.7851230986280532;0.4531421537802557;0.07020904985496633;-0.013947918346865084;0.3774197407706335
Grêmio;0.4999999999999999;-1.6249999999999976;-1.1258917289147923;-1.3001988003268257;-0.8860580465990346;-0.6751276150934782;-0.640663396902187;-0.5156561802905026
Internacional;0.0;2.125000000000005;1.465276546207099;1.6223713502132715;0.8702533107282568;0.9272500424903174;0.4574854370070443;-0.03246919878709118
Juventude;0.9999999999999998;0.8750000000000026;0.41470681921881464;-0.7801697833900956;-0.7642157849468543;-0.7078437906211771;-0.9765787130250299;-1.3940373692328158
Mirassol;-0.4999999999999999;-0.3749999999999992;-0.15888443132044444;0.293973604204364;0.08782700722292933;0.05139606551858141;0.020827072797145064;0.18756505427699535
Palmeiras;0.0;1.3749999999999944;1.159101139932257;1.2098709675584611;1.0984004185765315;0.6460203939573641;0.6795817631197051;0.695943872522694
RB Bragantino;0.0;-1.1249999999999996;0.5573870326846879;0.20072010514446345;0.298737248018299;0.3645845115002604;0.5059603315365355;0.43326749462343006
Santos;-0.4999999999999999;-0.7500000000000002;-0.7358855782355882;-0.5738569399039763;-0.43289060552214914;-0.4525123019591246;-0.5312489845306578;-0.44460911667751785
Sport Recife;-5.551115123125783e-17;-0.3750000000000017;-1.1014556926305665;-0.9211759506361232;-0.7873060217905087;-0.778514465674644;-0.7236148124479828;-1.0402672873671712
São Paulo;5.551115123125783e-17;-1.125000000000001;-1.0293636103626023;-0.3923125486637552;-0.183833095603317;-0.0422743817161125;0.004235915196004247;0.09260457565444916
Vasco da Gama;0.4999999999999999;-0.7499999999999996;-0.4341046074613567;-0.7029823265836763;-0.1670954293365392;-0.2557470307875945;-0.19648306298383128;-0.4012318747739389
Vitória;-0.9999999999999998;-0.3750000000000002;-1.0816785806183784;-0.3360394472461724;-0.2150165639668456;-0.33590669931400463;-0.5110053484403209;-0.36924910801884525
