;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31
Arsenal;1.0;0.8500000000000004;1.1707808644962292;1.0683330877263824;1.3578457970448146;1.4206267563560735;1.2420415853581355;0.8880519348308447;0.8860985085987647;0.7214503045833847;0.7110947972934096;0.919939751996071;1.0277088830677814;1.0836461286183459;0.9902680656608909;0.8818220194522531;1.0593612146730962;1.0027777777777775;1.0499999999999998;1.0045454545454546;1.0330096278046967;0.9837707743971212;0.9460840116061536;1.0822059835880897;1.08575605297744;0.9924782034801787;0.970246796233626;0.9331196386973512;0.9510833480540412;0.9555892313767428
Aston Villa;0.4999999999999998;-0.650000000000001;0.3874064107607647;-0.1968675045625357;0.027869055061433667;0.10149970524332741;0.040128989783271576;0.23992463150493337;0.21712409458031273;-0.029560140232927135;-0.0769529139736096;-0.06248222314268237;-0.21646149983771;-0.046775879127636644;-0.04435122246096987;-0.09572379639337894;-0.022030797395414362;-0.16111111111111032;-0.15000000000000033;-0.14318181818181944;-0.11601104209800017;-0.06553901942430738;-0.08453607535866856;-0.18060984007523262;-0.21027343800941295;-0.15172374386232995;-0.2518924185647576;-0.2069270642825473;-0.15591134296367634;-0.15587346085155643
Bournemouth;1.1102230246251565e-16;0.2500000000000012;-1.1377893143932272;-0.3432498468828704;-0.4413266940938875;-0.24119364981144253;-0.4287271418574261;0.06688009619411239;0.118613443218993;0.283968127265796;0.11534500673531312;0.036077090373006486;0.13774742010318825;0.2576086729050775;0.23686821864069965;0.17250370473568477;0.3531404155806025;0.30833333333333257;0.30000000000000004;0.31136363636363806;0.32705314009661945;0.47190044541243226;0.6702786828413968;0.6323063428230612;0.6165096045826267;0.5335302340686263;0.48438576574547726;0.4860181786616495;0.4365645265215551;0.43810539654520025
Brentford;0.5;-1.1500000000000035;0.5610051016111723;0.43166691227362;0.0017507768526338421;-0.1847317805572843;-0.0016205295433734616;-0.17184753449450252;-0.15975951090454155;-0.24778037995058383;-0.10204821199728738;-0.14686803827614053;0.031005410332580974;-0.10951146106811539;0.03524047123844185;0.05554667203223177;-0.06219979152170628;-0.05277777777777767;-0.1;0.07045454545454585;0.0834734362153964;0.06046043368453092;0.09559300702738668;0.031232711998608498;0.04575234983563294;0.15275063714604417;0.14403292998622616;0.09590035612630249;0.13569525965579682;0.1345951937886351
Brighton;1.4999999999999998;0.9999999999999992;0.7791583661270111;0.7251171058384538;0.6797986662948262;0.37964962246064765;0.5588189743666794;0.6199258154948848;0.42817554216754605;0.4549747732037704;0.6084254639298342;0.6418620623749799;0.5177047286332396;0.3263577720175229;0.24511460435057925;0.08791093694023071;0.060235032717618396;0.061111111111109916;0.05000000000000056;0.09545454545454521;0.14855960527418363;0.20886597968402523;0.14402915842678468;-0.11726462835127788;0.02300027456221006;0.10424538700006059;0.1537706568756843;0.1853252282531847;0.20167747504606467;0.20177144778149467
Chelsea;-1.0;1.85;1.014832315482928;0.7628962126965085;1.05043068373025;1.253548284883903;1.1371555083880125;1.0246239516002023;1.0637789305089775;0.9599778527197521;0.9499518549744498;0.8709066202968575;1.019280450950627;1.1297055746449152;1.1506481860426319;1.1302131060087472;1.0540760920194219;0.944444444444443;0.7499999999999994;0.6999999999999977;0.6855762594893012;0.7192614487783978;0.6417238001295542;0.6302571297616569;0.49513634293736525;0.4420822167289988;0.5139187531321079;0.4903810988451192;0.47113637702170896;0.4712667185773827
Crystal Palace;-0.5;-2.6499999999999995;-0.24292913423433943;-0.6157266005165279;-0.5924468205316986;-0.95376159101678;-0.6658938490038628;-0.6672485613234551;-0.38253097944187103;-0.43456055228464513;-0.5903000679288174;-0.5392006872153592;-0.5057225827356853;-0.46266203651313537;-0.3891184205673046;-0.21268124104087793;-0.38945989669528647;-0.34999999999999915;-0.3499999999999999;-0.3000000000000023;-0.24437543133195294;-0.17614585163401106;-0.20453893399865655;-0.13414954014463154;-0.17901566179702438;-0.09522748026991432;0.010004708265730737;0.006650821044718197;0.011653921045741979;0.009879606596187729
Everton;-1.5;-2.666666666666665;-2.8938797633576336;-2.198333578940287;-1.802787427315779;-1.388788768745804;-1.1720351684510433;-0.7866845389858383;-0.7569139940860237;-0.8748134911299744;-0.8651765231199884;-0.7819693040488502;-1.0325448558778247;-0.733839457201806;-0.6024567331367849;-0.5054317355130794;-0.416663169461643;-0.3833333333333323;-0.44999999999999934;-0.46136363636363414;-0.49040717736369893;-0.39609729231033797;-0.3286985970894992;-0.21343823705357953;-0.16933556563515068;-0.16892172430053767;-0.1601180551643451;-0.16968268844488238;-0.18127848879851224;-0.1817593290372626
Fulham;-0.5;0.33333333333333187;-0.17620850620451015;-0.15675015311712776;0.04029396925373636;0.20188623879922749;0.27934114288913847;-0.07064695095880913;-0.16775266869423577;-0.10210782484573763;0.05175735449662133;-0.27187427792238766;-0.21396044835821204;-0.03352213226091451;0.04479965332485057;0.12564869504402895;0.03293241624444308;0.14166666666666705;0.15000000000000022;0.10909090909091068;0.028077535727085847;0.05505350760337602;0.008044298525063399;0.05614602057199546;0.1060047791333076;0.022336844848996274;0.04125407300378152;0.015577430926020529;0.09609534261279058;0.09150124626089085
Ipswich Town;-0.9999999999999999;-0.14999999999999866;0.1147372965608405;-0.12543526641495326;-0.43326401207551374;-0.5221793826010092;-0.8674360064798456;-1.193912103910255;-1.2069201047512128;-1.1962526761887895;-0.9314549345221621;-0.8511967379077051;-0.8671040397367719;-0.9151568422312291;-0.8879543681086258;-0.8338397616796552;-1.0063020725940288;-0.9444444444444458;-0.7499999999999997;-0.7090909090909083;-0.7646983117726709;-0.9631532887617807;-0.9931970454770778;-1.0638650608272384;-1.0197986770326222;-1.0754430457859385;-1.0838711291735073;-1.0791694353681434;-1.0911289087215863;-1.0912514387808954
Leicester City;0.0;-1.9787621722032974e-15;-0.7039368124168142;-0.7369195820875982;-0.7678915645622605;-0.6053520512449344;-0.4121808204005839;-0.35683002102477174;-0.48429539461015425;-0.5299231021561936;-0.8032278101326212;-0.7278076116948133;-0.8778949990384015;-0.6921893821145839;-0.6035418008801863;-0.7934417052136443;-0.9747070879552435;-0.961111111111112;-0.9999999999999992;-1.0068181818181838;-1.0618357487922705;-1.0950709288458667;-0.9958153669537384;-1.1208630537475968;-1.111844789599376;-1.2124754595313247;-1.2598506612821292;-1.2370919428711746;-1.2972103091493956;-1.2987926120005597
Liverpool;0.9999999999999999;1.3499999999999979;2.5787721318048193;1.6427475032172303;1.6808718089007681;1.266036715284773;1.081923324644253;1.252786385787266;1.2801618561900152;1.3114420362609323;1.3977479523389795;1.2729755705114814;1.4030802911157048;1.279822167995219;1.142045301694296;1.074083351139295;1.2452070133378619;1.2333333333333332;1.3999999999999997;1.3249999999999986;1.287824495591556;1.3165610300371624;1.3406272888687323;1.3945262239802083;1.3559096608265542;1.4030699815977816;1.4354580902534482;1.4007777804669423;1.3501147596987713;1.3512862283441014
Manchester City;1.0000000000000002;3.3499999999999988;2.941648264082217;2.287144478401635;1.9337484631364452;1.6319036499753785;1.5340447905553323;1.1251799469518393;0.9721181392376794;0.7915722660029639;0.7342054036126746;0.4373061804458119;0.3741346630877332;0.5202685344059115;0.4482698743542059;0.3761527786541208;0.299520569856495;0.2611111111111106;0.29999999999999855;0.3954545454545451;0.38481261518109;0.5835548711916525;0.6705701627295366;0.5214221360306764;0.6649371079786659;0.6196567296207646;0.6530464273913164;0.6075087805118817;0.5913518462844919;0.5908578611652424
Manchester Utd;0.5;0.6666666666666679;0.06057399724244142;0.1559041809826757;0.06149693119085956;-0.4723026483245281;-0.3596021214626851;-0.16525287418120382;-0.29941866430049324;-0.187473989557321;0.022238056982653003;-0.02993757970120101;0.20040215342700277;0.1314387388684129;0.07803176681066581;0.1544695654901604;-0.031716969801517766;-0.18333333333333293;-0.2499999999999999;-0.17499999999999982;-0.14820784194776568;-0.21669995290275632;-0.16748856679673743;-0.2500879278742524;-0.25729021657182277;-0.2507053491314545;-0.24081138281920123;-0.20040759423404042;-0.13806847461539792;-0.14964817850570158
Newcastle Utd;0.49999999999999994;0.2500000000000002;-0.3712084496456213;-0.04641620731528239;-0.35085057841442713;0.14910060388263044;-0.11627103052310353;-0.07950132772225492;-0.09988796789362066;0.10609555393540572;0.3002011419739068;0.08342440826357171;0.023355191695543297;0.10881298837821154;-0.03388652346005344;0.16324082309310908;0.336319320399829;0.48333333333333467;0.5500000000000004;0.6000000000000015;0.6753389136364467;0.5305460880178835;0.5335156470574435;0.4827439205032219;0.338344066416787;0.37200283964202974;0.3348610761848886;0.3393967194078031;0.33641170478083987;0.3368074273685185
Nott'ham Forest;-5.551115123125783e-17;0.2500000000000006;-1.148279730176426;0.10885418602757468;0.21570204262974554;-0.01300650680475666;0.11173032473645673;0.19479632342747963;0.3926546152548606;0.6334143012674085;0.40026253302209147;0.1834414894958506;0.19433650083437126;-0.005850547637283711;0.05012160413083342;0.08597361905955478;0.20041648045305652;0.28333333333333377;0.34999999999999976;0.4454545454545452;0.48034674496200963;0.4371432100729265;0.24014753809603603;0.5135695333850377;0.463539201942286;0.42115243904793315;0.438099564754774;0.47803441284535786;0.4922805894934883;0.5050004147234155
Southampton;-0.49999999999999994;-0.7500000000000009;-1.6528276927369636;-1.5874977320078532;-1.5010329679633387;-1.7140522273693972;-1.6314121313959777;-1.60220193836007;-1.431199659572191;-1.249974308592789;-1.3772631499035555;-1.257803821746062;-1.110075496855578;-1.2479505602498209;-1.2463561595752572;-1.438744626492962;-1.3428622750654702;-1.3499999999999994;-1.3499999999999994;-1.5204545454545442;-1.5483970184423803;-1.5095259264845777;-1.5124263489423269;-1.4514562729125844;-1.454343987339505;-1.5460172910375065;-1.6162719201897713;-1.5794394225860615;-1.577711906470681;-1.5765184888802437
Tottenham;0.0;0.6666666666666642;-0.3230083418066901;0.021665929845804927;0.48761340072099624;0.9864253518943573;0.819878698477719;1.077285158900116;0.7652480886500138;0.9492052385963565;0.7049439294592099;1.050408339184701;0.9227531171870256;0.8464462730883391;0.8096218182659755;0.9883335394683883;0.8091665213066365;0.7166666666666663;0.6500000000000002;0.6000000000000013;0.5776522064291427;0.4834008508741165;0.3814619039425139;0.4504752530115502;0.4588993037470576;0.5114698556118146;0.47705485719131707;0.4750204142236798;0.39465052822082103;0.39420015993935986
West Ham;-0.49999999999999983;-1.1499999999999988;0.6953751802028818;0.07945005505135833;-0.30802092986996865;-0.3249425821120383;0.06510286379838115;-0.32958018271623923;-0.2442347416794871;-0.4863565904473522;-0.5184157744540154;-0.3381701508772939;-0.46483208122796704;-0.5842278214393254;-0.5236044978193953;-0.4543088036227432;-0.4390191521262432;-0.4333333333333334;-0.5999999999999999;-0.6954545454545464;-0.6175959022314472;-0.6755451075147361;-0.6504358561709467;-0.6442773637542216;-0.6568253276892868;-0.5562091330484169;-0.5064014068512163;-0.5157063503998094;-0.5013657447152051;-0.53352954816146
Wolves;-1.0;-1.6499999999999968;-1.6542221833990836;-1.2765831802162069;-1.3398005999896379;-0.9703657401923433;-1.2149874038794777;-1.0657482110142777;-0.8910595324733344;-0.8732973984494538;-0.7313341087870858;-0.48903108040983406;-0.5629128067666471;-0.8524207310781073;-0.8997598385054913;-0.9617271411614633;-0.7654138639725075;-0.6166666666666667;-0.5500000000000006;-0.6454545454545461;-0.7201961064273436;-0.7527412718752517;-0.7349387084629503;-0.6188733309134901;-0.5950610812657304;-0.5180521418258064;-0.536916724973452;-0.5252863618233508;-0.5260405030016558;-0.4934878762494932
